,Unnamed: 0,Unnamed: 0.1,year,ISO2 Code,FIMM_PA_x,month,couprisk,election,broad_reserves_ratio,broad_base_ratio,foreignassets_reserves_ratio,broad_reserves_ratio_12monthsdelta,broad_base_ratio_12monthsdelta,foreignassets_reserves_ratio_12monthsdelta,inflation,current_account_12monthsdelta,moneymarket_rate_12monthsdelta,moneymarket_rate_1monthdelta,GDP_12monthsdelta,goodsandservices_12monthsdelta,reserves,reserves_1monthdelta,commodities_index,exports,imports,imports_fx,EMP,exchange_change_12m,net_debt_12monthsdelta,lending_borrowing_12monthsdelta,lending_rate_12monthsdelta,claims_private_12monthsdelta,election_p,real_deviation_hp,exchange_change,time,threshold,prob1,prob2,prob3,prob4,prob5,pred,precrisis,ENDE_XDC_USD_RATE,dummy,missing_ratio,Forecast date,FIMM_PA_y
25,25,25,01/02/1996,BR,-0.011736758,-1.265593085,-0.32115044,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.005994931,-0.020681008,-0.520160675,-0.20479863,0.021272359,-0.004298775,-0.005057063,0.004222471,-0.125103708,-0.192039751,-0.054380649,-0.127544313,-0.041563712,-0.029005065,-0.053338881,0.026217426,0.055912597,-0.582457284,-0.403970468,0.170183593,0.005107252,1996,0.5,0.0732838,0.09929696,0.152047461,0.099655986,0.378895169,0.090745582,0,0.984,0,0.290322581,39:52.4,38.96433714
26,26,26,01/02/1996,CL,-0.029806419,-1.265593085,-0.346629483,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.076629098,-0.006571254,-0.08362338,-0.051711017,-0.089129748,3.792455725,-0.015249392,0.343223897,-0.989713052,0.017944219,-0.049127436,-0.127229781,-0.31033687,-0.104309978,-1.079752438,-0.145982577,-0.743282251,-0.582457284,-0.403970468,-0.289649914,-0.000557225,1996,0.5,0.053654358,0.047772972,0.152047461,0.072164446,0.508116082,0.057863925,0,412.53,0,0.322580645,39:52.4,
27,27,27,01/02/1996,CN,-0.029806419,-1.265593085,-0.463638518,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.067176203,-0.006571254,-0.08362338,-0.051711017,-0.079289383,0.01432644,-0.013836167,-0.273441005,-0.088306418,-0.639692755,-0.052232804,-0.122820959,0.109045742,-0.1130813,-0.053338881,0.026217426,0.484762377,-0.582457284,-0.403970468,0.245644858,0.000721614,1996,0.5,0.088514574,0.121013866,0.152047461,0.10852361,0.005093798,0.106017349,0,8.3207,0,0.419354839,39:52.4,
28,28,28,01/02/1996,CO,-0.01160892,-1.265593085,0.321419632,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.020689107,-0.006571254,-0.08362338,2.195961348,-0.089129748,0.01432644,-0.015249392,-0.12332276,-0.458432311,-0.243471783,-0.051722068,-0.125818671,0.091240871,0.000206392,-0.053338881,0.82694744,-0.162273325,-0.582457284,-0.403970468,-1.13687497,0.011350692,1996,0.5,0.06196444,0.036866459,0.152047461,0.0677529,0.588366907,0.055527933,0,1039.8101,0,0.419354839,39:52.4,39.24
29,29,29,01/02/1996,CZ,-0.024737646,-1.265593085,-0.340664644,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.079357959,-0.006571254,-0.27526347,-0.163369657,-0.089129748,-0.03325738,-0.015984131,0.67829332,-0.146904652,1.229186134,-0.052591335,-0.129991047,-0.607623826,-0.103708276,-1.067265655,-0.378452581,0.032050354,-0.582457284,2.475428475,-0.047728783,-0.010261673,1996,0.5,0.05567736,0.046741567,0.152047461,0.07111949,0.004077521,0.057846139,0,27.006,0,0.290322581,39:52.4,10.93
30,30,30,01/02/1996,EG,-0.029806419,-1.265593085,-0.139196754,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.052117766,-0.006571254,-0.08362338,-0.051711017,-0.089129748,0.01432644,-0.015249392,-0.371257348,-0.068997233,-0.217133674,-0.052744199,-0.127881879,0.159361295,-0.106944642,-0.053338881,0.026217426,-0.080336551,-0.582457284,-0.403970468,2.07E-13,-0.001179245,1996,0.5,0.055785276,0.096683458,0.152047461,0.09472579,0.004247329,0.082398174,0,3.388,0,0.483870968,39:52.4,
31,31,31,01/02/1996,HU,-0.029806419,-1.265593085,-0.28871834,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,0.023294419,-0.006571254,-0.08362338,-0.051711017,-0.089129748,-0.019523298,-0.015369328,3.791939352,-0.037454552,0.071284464,-0.054321874,-0.126826996,-2.632935678,0.040686414,-1.060089343,-0.234485369,0.422913672,-0.582457284,-0.403970468,-0.137167169,-0.004748469,1996,0.5,0.041661277,0.048995976,0.152047461,0.076930285,0.99999629,0.055862513,0,144.62,0,0.322580645,39:52.4,
32,32,32,01/02/1996,ID,-0.023249013,-1.265593085,-0.307385409,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.072863215,-0.003803481,0.177472652,0.24136038,-0.011314535,0.039900195,-0.015239255,-0.041581153,0.069254098,0.428728255,-0.052108835,-0.122510958,-0.013821836,-0.081627381,-0.053338881,0.382097432,0.42660848,-0.582457284,-0.403970468,2.07E-13,0.004759844,1996,0.5,0.16675816,0.111386129,0.152047461,0.10278666,0.008421112,0.126976985,0,2322,0,0.35483871,39:52.4,14.14
33,33,33,01/02/1996,IL,-0.029806419,-1.265593085,-0.33118211,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.07850346,-0.00966042,-0.08362338,-0.051711017,0.002593331,0.018908531,-0.008800425,-0.367297538,-0.078150807,0.228341256,-0.04950797,-0.119977851,0.070126727,-0.087585268,-0.053338881,0.026217426,0.055912597,-0.582457284,2.475428475,0.143189006,-0.012420382,1996,0.5,0.14972222,0.083400484,0.152047461,0.09004399,0.002170742,0.107722232,0,3.101,0,0.35483871,39:52.4,
34,34,34,01/02/1996,IN,-0.022029353,-1.265593085,-0.071391843,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.069221306,-0.006571254,0.941164343,-2.02722932,-0.089129748,0.028067355,-0.015249392,0.010662644,-0.096509503,-0.368368918,-0.052591335,-0.129991047,-0.39344391,-0.049208139,-0.404476055,0.018249963,0.834479162,-0.582457284,2.475428475,2.07E-13,-0.040010962,1996,0.5,0.052193064,0.085853763,0.152047461,0.096910626,0.015301739,0.078319151,0,35.03,0,0.419354839,39:52.4,16.77
35,35,35,01/02/1996,KR,-0.024612434,-1.265593085,-0.377422743,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.093755282,-0.000849969,-0.404393851,-0.118551862,-0.010935393,0.02537151,-0.015270033,-0.334044974,-0.155168556,0.026128436,-0.051291294,-0.119421619,0.108370557,-0.10987501,-0.053338881,0.026217426,0.055912597,-0.582457284,-0.403970468,2.07E-13,-0.004590055,1996,0.5,0.21165895,0.089256874,0.152047461,0.09393281,0.006126061,0.131616212,0,780.70001,0,0.322580645,39:52.4,11.2
36,36,36,01/02/1996,MX,-0.005988285,-1.265593085,-0.471755202,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,0.1409316,-0.036598547,1.244795472,-0.454397137,0.018029112,0.951937382,-0.013436535,1.610861111,-0.156616213,0.731521835,-0.053754694,-0.118552156,-0.993401907,0.039297334,-0.053338881,0.337612432,6.079582968,-0.582457284,-0.403970468,-0.490612451,0.020051956,1996,0.5,0.15445867,0.126874226,0.152047461,0.11746928,0.999964649,0.13293406,0,7.539,0,0.258064516,39:52.4,51.36
37,37,37,01/02/1996,MY,-0.026800586,-1.265593085,-0.456016587,-0.402822732,-0.778939673,-0.751866829,-0.874947835,0.001513601,-0.016362695,0.007938904,-0.10123585,-0.006571254,0.366075314,0.033135658,-0.023702859,0.01432644,0.008044034,-0.133044215,-0.216744836,0.478621172,-0.051289661,-0.121820866,-0.027326455,-0.107285369,-0.988396257,0.060657427,0.606200422,-0.582457284,-0.403970468,-0.496133207,-0.004877097,1996,0.5,0.218555,0.058151976,0.152047461,0.0760164,0.00751839,0.117574459,0,2.5505,0,0.322580645,39:52.4,6.4816
