BCAXF_BP6_USD,FIGB_PA,credit_government,credit_private,debt_service,House_prices,gdp_growth,credit_growth,inflation,stock_growth,credit_gap,house_gap,house_growth,Country_AT,Country_BE,Country_DE,Country_DK,Country_ES,Country_FI,Country_FR,Country_GB,Country_GR,Country_IE,Country_IT,Country_LU,Country_NL,Country_PT,Country_SE,three_year
-144.544246,16.26,,107.6,,,,-0.014652015,0.22838089,,112.6714932,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-227.1771141,10.13,,105.6,,90.50526717,0.042373995,-0.002832861,0.058066062,0.11299434,103.3810994,77.91278048,0.050961461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,7.843333332,,74,,,,0.083455344,0.032246671,0.020040525,72.19137702,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,9.033333333,,96.3,,,,0.061742007,0.041234354,,84.89654396,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1135.779882,7.466666666,,92.3,,,,0.025555556,0.032778872,-0.005690858,93.59737265,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-563.0651628,,,120.5,,,,-0.006595218,0.07826295,,120.0235162,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88.01466913,,,85.8,,93.64869584,,-0.019428571,0.071473015,0.163636364,87.55175287,105.2574042,-0.112291321,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2402.688451,9.12,,106.3,,76.84856853,0.032984503,-0.024770642,0.101216487,0.24654464,106.5277081,,0.018991129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-401.3581024,12.10333333,,56.7,,,0.058686892,0.005319149,0.105872328,0.26154243,57.51656551,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-558,,,45.6,,,,-0.025641026,0.170081881,,45.07989487,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,,75.5,,109.2383082,,0.143939394,0.12442415,0.206080944,72.00896998,,0.128345269,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2238.600399,,,58.7,,118.9132014,,-0.047077922,0.135837294,0.291084608,60.6515307,107.3036154,0.135164617,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,6.766666666,,,,,,,0.03925161,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
571.6592655,8.786666666,,115.9,,,,0.111217641,0.041989841,0.003161222,108.1072287,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-89.07495959,17.14333333,,107.9,,,,-0.026173285,0.216824043,,112.3678404,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-306.3113862,10.19666667,,106.6,,89.6068585,0.034246664,0.002822201,0.061184446,-0.02681232,103.8722771,77.46185599,0.030352483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,8.189999999,,74.8,,,,0.070100143,0.036313363,-0.012347025,72.79288756,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,9.616666667,,98,,,,0.071038251,0.047484179,,84.89969517,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4738.001286,7.6,,92.1,,,,0.023333333,0.046500279,-0.071746032,93.9472534,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-846.0656992,,,120.7,,,,-0.003303055,0.119760458,,120.2494345,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-231.3102371,,,85.8,,92.99999371,,-0.022779043,0.075460228,0.323987539,88.20461698,105.2040619,-0.059493464,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
854.9834672,10.47666667,,105.4,,77.73803503,0.038748548,-0.012183693,0.107307411,0.22386145,106.7873951,,0.031825427,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1525.912632,12.38333333,,56.2,,,0.027104657,0.010791367,0.159779147,0.085151803,58.38242622,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-244,,,44.7,,,,-0.026143791,0.204968895,,44.96632497,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,,73.2,,103.257057,,0.054755043,0.139013544,-0.020337739,72.0098637,,0.034989709,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2395.18416,,,57.7,,110.1478876,,-0.055646481,0.147989989,0.316209967,60.45483613,106.8910024,0.013220614,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,6.803333332,,,,,,,0.047740317,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-821.595461,8.826666666,,117.3,,,,0.098314607,0.038288305,-0.044278607,109.262861,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
266.1860134,16.44333333,,106.2,,,,-0.031905196,0.21754902,,112.0608388,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-1087.748187,10.44666667,,106,,88.23990293,0.056462483,0.006647673,0.076062384,-0.082706823,104.3675766,77.01156496,0.005777252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,8.243333333,,77.3,,,,0.066206897,0.043958007,0.037195876,73.39174951,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10.49333333,,99,,,,0.06223176,0.051423785,,84.90325004,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1474.490856,7.933333332,,93.6,,,,0.019607843,0.053196581,-0.115676287,94.29588237,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-925.5932686,19.12,,120.3,,,,-0.005785124,0.116092981,,120.479783,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-165.0013264,,,87.4,,92.79763275,,-0.016872891,0.080362605,0.256880734,88.85979925,105.1523744,-0.038683711,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
792.0600808,11.03666667,,106.9,,78.83726277,0.031276251,-0.004655493,0.115266747,0.195438708,107.0493705,,0.043818729,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-38.83983969,14.14,,55.6,,,0.021717284,0.001801802,0.172589681,0.051479432,59.25366116,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-455,,,44.5,,,,-0.043010753,0.229702949,,44.85100888,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,,75,,104.2992451,,0.008064516,0.158590206,-0.110214681,72.0104584,,0.085308525,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-327.6621066,,,59.4,,100.6088967,,-0.0496,0.176829174,0.235537926,60.26451743,106.4790094,-0.125429981,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,6.809999999,,,,,,,0.055777775,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
