,ISO2 Code,year,RAXGFX_USD,LUR_PT,TXG_FOB_USD,TMG_CIF_USD,FDSAOP_XDC,AIP_IX,ENDE_XDC_USD_RATE,FMB_XDC,FIMM_PA,EREER_IX,FILR_PA,FISR_PA,FDSF_XDC,FDSB_XDC,RAXG_USD,PCPI_IX,FASMB_XDC,PCTOT,NGDP_XDC,BGS_BP6_USD,BCAXF_BP6_USD,DSTKMKTXD,month,couprisk
73321,US,2007-12-01,45803.84309830001,4.8,100030.457134,167590.186129,,,1.0,,4.24,100.761905520339,7.33,,,,59524.2344641401,96.32226657892141,,99.9365615844727,,,,128.03636976023,12,0.00034882128238677984
73322,US,2008-01-01,47172.51497015,5.4,98677.051604,173741.163597,,,1.0,,3.94,100.138696502816,6.98,,,,60975.585383563,96.80104377096659,,99.9897232055664,,-161761.0,-156704.0,119.73871339771,01,0.00035038701025769114
73323,US,2008-02-01,48395.14926938,5.2,104740.035375,170233.17416300002,,,1.0,,2.98,98.8857266251214,6.0,,,,62362.9672847254,97.082164861698,,100.06470489501999,,,,118.60651764455,02,0.00031267001759260893
73324,US,2008-03-01,50529.21641371519,5.2,110931.661862,176303.84564400002,,,1.0,,2.61,96.8357605937921,5.66,,,,64723.075702173395,97.9236937385207,,100.089561462402,,,,116.4511797658,03,0.00034756527747958904
73325,US,2008-04-01,49311.20043112,4.8,109856.654615,187642.005186,,,1.0,,2.28,96.39837328372091,5.24,,,,63330.5680240449,98.5175792401476,,100.092529296875,,-190473.0,-177935.0,120.87048384639,04,0.00034873661934398115
73326,US,2008-05-01,49246.70065452,5.2,112626.996057,188449.772677,,,1.0,,1.98,96.82995128571008,5.0,,,,64128.9355602446,99.34718454705342,,100.11808776855499,,,,122.35883452692,05,0.000344215368386358
73327,US,2008-06-01,49612.75832215,5.7,116787.38143699999,195667.803146,,,1.0,,2.0,97.2377868503315,5.0,,,,64698.625672539405,100.348305821224,,100.175262451172,,,,115.1408113283,06,0.00034432800021022564
73328,US,2008-07-01,49088.86462,6.0,114522.29323,208650.518695,,,1.0,,2.01,96.6740726612473,5.0,,,,63790.811748445194,100.87523589178001,,100.18566131591801,,-210737.0,-196795.0,108.12836470576,07,0.0003410422650631517
73329,US,2008-08-01,47251.74126979,6.1,116417.77125599999,195834.615838,,,1.0,,2.0,98.63795564511422,5.0,,,,61519.3555575452,100.47258610766501,,100.09058380126999,,,,110.11829932851,08,0.0003378216351848096
73330,US,2008-09-01,46625.55946536,6.0,106071.949176,185935.871377,,,1.0,,1.81,101.083517675083,5.0,,,,60792.972886126205,100.33363065825,,100.023490905762,,,,106.13917175614,09,0.00033909777994267637
73331,US,2008-10-01,45288.1546569665,6.1,111238.62110899999,191910.048624,,,1.0,,0.97,107.140772633638,4.56,,,,58721.9142285751,99.320127215319,,99.8239364624023,,-145757.0,-149957.0,87.63736194634,10,0.0003394311934243888
73332,US,2008-11-01,45970.11662946,6.5,97085.416236,152536.449928,,,1.0,,0.39,108.623282378893,4.0,,,,62337.3591639474,97.41785921474121,,99.7019805908203,,,,82.26874856719,11,0.0002456904330756515
73333,US,2008-12-01,49583.569371499994,7.1,88486.164773,142581.823033,,,1.0,,0.16,106.87729403197399,3.61,,,,66607.0060995362,96.4103175567688,,99.5915298461914,,,,82.08736307677,12,0.0003726195427589119
73334,US,2009-01-01,47595.38677925,8.5,78150.578813,127001.689549,,,1.0,,0.15,107.953132572157,3.25,,,,64322.5254758466,96.8299354980727,,99.6424102783203,,-77613.0,-77558.0,80.18348636995,01,0.0004303457099013031
73335,US,2009-02-01,45628.133513,8.9,80349.277997,112574.79818599999,,,1.0,,0.22,111.000362139468,3.25,,,,62157.738998888395,97.3114642831756,,99.6182861328125,,,,,02,0.0004741221782751381
73336,US,2009-03-01,46634.066565,9.0,87847.9631,125298.127821,,,1.0,,0.18,111.40999647996,3.25,,,,63916.5097962746,97.54810128614041,,99.6148834228516,,,,,03,0.0004462082870304585
73337,US,2009-04-01,46725.182261986905,8.6,80822.453168,122676.38079200001,,,1.0,,0.15,108.445944052882,3.25,,,,64073.5328982655,97.79161727174959,,99.6516571044922,,-85810.0,-88097.0,,04,0.0004513906897045672
73338,US,2009-05-01,49247.40693781,9.1,83651.049988,119872.244207,,,1.0,,0.18,104.94516215222,3.25,,,,70696.773099606,98.07411415901,,99.7284317016602,,,,,05,0.00046016229316592216
73339,US,2009-06-01,48897.405729000006,9.7,86829.51161,130767.923464,,,1.0,,0.21,104.171200744928,3.25,,,,70447.55288004401,98.91656023351851,,99.80123901367192,,,,,06,0.00033437187084928155
73340,US,2009-07-01,49875.577118,9.7,85634.74823099999,139367.625917,,,1.0,,0.16,103.693009857353,3.25,,,,71890.20905789231,98.7597194292279,,99.77147674560551,,-114184.0,-109513.0,,07,0.00030700446222908795
73341,US,2009-08-01,50452.981814,9.6,87315.10033,134843.47188,,,1.0,,0.16,102.334594602183,3.25,,,,115805.00976822099,98.98122267037519,,99.8157806396484,,,,,08,0.00031164984102360904
73342,US,2009-09-01,51839.586576999995,9.5,91458.40522999999,144800.882748,,,1.0,,0.15,101.608516526735,3.25,,,,123254.92962096301,99.0431335141741,,99.7732391357422,,,,,09,0.0003141614142805338
73343,US,2009-10-01,51903.347724,9.5,100005.493436,150962.411028,,,1.0,,0.12,100.434467981313,3.25,,,,123649.037930591,99.1385220735088,,99.8182525634766,,-106171.0,-97354.0,,10,0.00031288451282307506
73344,US,2009-11-01,53525.24443504,9.4,94606.513892,147123.577329,,,1.0,,0.12,100.020281660061,3.25,,,,123978.920154147,99.20868769648091,,99.85894775390629,,,,,11,0.00031608206336386496
73345,US,2009-12-01,50519.85790816,9.7,99371.867233,150006.55223,,,1.0,,0.12,100.36537758263799,3.25,,,,119718.87259585301,99.03396153731501,,99.88381958007808,,,,,12,0.0003182407526765019
73346,US,2010-01-01,50217.37255002,10.6,92600.632335,140536.309847,,,1.0,,0.11,100.56433408801901,3.25,,,,118919.212771275,99.37240748341591,,99.9081344604492,,-97889.0,-87201.0,100.0,01,0.001071824342943728
73347,US,2010-02-01,50185.45865867,10.4,93858.17667100001,137651.174267,,,1.0,,0.13,101.71576685159401,3.25,,,,118251.70125284401,99.3971718209355,,99.8858642578125,,,,97.54824582853,02,0.00022746420290786773
