;year;ISO2 Code;ENDE_XDC_USD_RATE;exchange_change;exchange_change_12m;pred;precrisis;<0.1;>0.1;>0.2;>0.3;>0.4;>0.5;>0.6;>0.7;>0.8;>0.9;;;;;;;;;;;;;
110;01/03/1991;CR;115.45;0.03216848;0.33545402;0.17003922;0;;0.03216848;;;;;;;;;;;;;;;;;;;;;
111;01/03/1991;CZ;;0.002960897;;0.29999;0;;0.002960897;0.002960897;;;;;;;;;;;;;;;;;;;;
112;01/03/1991;DO;13;0.083333333;1.050473186;0.09466334;0;0.083333333;;;;;;;;;;;;;;;;;;;;;;
113;01/03/1991;DZ;17.7653;0.044433535;1.229748726;0.5035979;1;;0.044433535;0.044433535;0.044433535;0.044433535;0.044433535;;;;;;;;;;;;;;;;;
114;01/03/1991;EG;3.1658;0.037;1.878;0.16006261;1;;0.037;;;;;;;;;;;;;;;;;;;;;
115;01/03/1991;ET;2.07;0;0;0.08994649;0;0;;;;;;;;;;;;;;;;;;;;;;
116;01/03/1991;GH;0.036101083;0.021201413;0.158844765;0.1540249;0;;0.021201413;;;;;;;;;;;;;;;;;;;;;
117;01/03/1991;GT;5.0095;0.000807479;0.257461431;0.033707343;0;0.000807479;;;;;;;;;;;;;;;;;;;;;;
118;01/03/1991;HR;;-0.004938858;;0.32665795;0;;-0.004938858;-0.004938858;-0.004938858;;;;;;;;;;;;;;;;;;;
119;01/03/1991;HU;75.1687;0.011467772;0.149693721;0.036377084;0;0.011467772;;;;;;;;;;;;;;;;;;;;;;
120;01/03/1991;ID;1932;0.0041841;0.059791552;0.08640523;0;0.0041841;;;;;;;;;;;;;;;;;;;;;;
121;01/03/1991;IL;2.261;0.010934394;0.133901705;0.029723622;0;0.010934394;;;;;;;;;;;;;;;;;;;;;;
122;01/03/1991;IN;19.6197;0.026621535;0.13891227;0.08966272;1;0.026621535;;;;;;;;;;;;;;;;;;;;;;
123;01/03/1991;IQ;1938.668292;0;0;0.050915897;0;0;;;;;;;;;;;;;;;;;;;;;;
124;01/03/1991;IR;68.557;0.010818709;-0.039992718;0.14328131;0;;0.010818709;;;;;;;;;;;;;;;;;;;;;
125;01/03/1991;KE;26.5961;0.019602925;0.157534873;0.054286584;0;0.019602925;;;;;;;;;;;;;;;;;;;;;;
126;01/03/1991;KR;724.7;0.007510431;0.032189147;0.09422762;0;0.007510431;;;;;;;;;;;;;;;;;;;;;;
127;01/03/1991;KZ;;-0.027386997;;0.32665795;0;;-0.027386997;-0.027386997;-0.027386997;;;;;;;;;;;;;;;;;;;
128;01/03/1991;LK;40.76;0.007924715;0.019;0.024466341;0;0.007924715;;;;;;;;;;;;;;;;;;;;;;
129;01/03/1991;MA;8.9099;0.019608828;0.105707301;0.014630952;0;0.019608828;;;;;;;;;;;;;;;;;;;;;;
130;01/03/1991;MM;6.409;0.010093427;-0.031682959;0.0688966;0;0.010093427;;;;;;;;;;;;;;;;;;;;;;
131;01/03/1991;MX;2.981;0.003785063;0.090742774;0.026092285;0;0.003785063;;;;;;;;;;;;;;;;;;;;;;
132;01/03/1991;MY;2.772;0.006595035;0.016389836;0.01956853;0;0.006595035;;;;;;;;;;;;;;;;;;;;;;
133;01/03/1991;NG;8.787346221;0.03804878;0.106326889;0.050856933;0;0.03804878;;;;;;;;;;;;;;;;;;;;;;
134;01/03/1991;PH;28;0;0.230769231;0.047273543;0;0;;;;;;;;;;;;;;;;;;;;;;
135;01/03/1991;PK;22.95;0;0.066449814;0.08805888;0;0;;;;;;;;;;;;;;;;;;;;;;
136;01/03/1991;PL;0.94816798;0;0;0.12442822;0;;0;;;;;;;;;;;;;;;;;;;;;
137;01/03/1991;PY;1312;0;0.077175698;0.024930468;0;0;;;;;;;;;;;;;;;;;;;;;;
138;01/03/1991;RU;;0.010365784;;0.34195846;0;;0.010365784;0.010365784;0.010365784;;;;;;;;;;;;;;;;;;;
139;01/03/1991;SD;0.004500565;0;0;0.80890614;1;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
140;01/03/1991;SG;1.7931;-0.002599353;-0.048399936;0.013830792;0;-0.002599353;;;;;;;;;;;;;;;;;;;;;;
141;01/03/1991;TH;25.65;0.003578529;-0.012702079;0.08503504;0;0.003578529;;;;;;;;;;;;;;;;;;;;;;
142;01/03/1991;TR;0.00370429;0.094819291;0.489754716;0.37101758;0;;0.094819291;0.094819291;0.094819291;;;;;;;;;;;;;;;;;;;
143;01/03/1991;TZ;203.7;0.017802645;0.050351922;0.032611866;0;0.017802645;;;;;;;;;;;;;;;;;;;;;;
144;01/03/1991;UA;;0;;0.34311187;0;;0;0;0;;;;;;;;;;;;;;;;;;;
145;01/03/1991;UG;620;0.052631579;0.635883905;0.036946196;0;0.052631579;;;;;;;;;;;;;;;;;;;;;;
146;01/03/1991;UY;1.772;0.041641521;0.832471562;0.1974146;0;;0.041641521;;;;;;;;;;;;;;;;;;;;;
148;01/03/1991;VN;8955;0;0.674418605;0.097512946;0;0;;;;;;;;;;;;;;;;;;;;;;
149;01/03/1991;ZA;2.731494127;0.010238382;0.029008468;0.043358117;0;0.010238382;;;;;;;;;;;;;;;;;;;;;;
150;01/04/1991;AF;42.82278;0;0;0.038894232;0;0;;;;;;;;;;;;;;;;;;;;;;
151;01/04/1991;AO;5.98E-08;1;1;0.7354293;1;;1;1;1;1;1;1;1;;;;;;;;;;;;;;;
152;01/04/1991;AR;0.9805;-0.035571142;0.959040959;0.05281821;0;-0.035571142;;;;;;;;;;;;;;;;;;;;;;
153;01/04/1991;AZ;;0.036180205;;0.34195846;0;;0.036180205;0.036180205;0.036180205;;;;;;;;;;;;;;;;;;;
154;01/04/1991;BD;35.79;0;0.045879603;0.053467628;0;0;;;;;;;;;;;;;;;;;;;;;;
