year,ISO2 Code,AIP_SA_IX,ENSE_XDC_XDR_RATE,FIMM_PA,LUR_PT,PCPI_IX,RAFAGOLDV_OZT,RAXG_USD,TMG_CIF_XDC,TXG_FOB_XDC,ISO Code
2001-07-01,BR,76.0457740135898,3.05936078807019,18.57,,56.3903564103971,1.12080902455902,35252.1138672537,12613.7126685071,12254.5316061047,BRA
2001-08-01,BR,76.061341214002,3.2861370080424,19,,56.7849617582253,1.12107427654159,35993.7396949751,13445.4535909305,14391.285337263,BRA
2001-09-01,BR,74.6058079754614,3.44229752897047,19.06,,56.9438955639006,1.12128942127089,39725.6024238463,11700.5768933883,12714.8140844583,BRA
2001-10-01,BR,72.8934159301196,3.45885745105607,19.06,,57.4165229617877,1.12159507869875,37179.9122634379,13717.3953853088,13722.3082168023,BRA
2001-11-01,BR,73.7418283525844,3.20051757252409,19.05,,57.8242925238234,1.0969655653655,36931.5353719856,11294.3341571073,11457.9705661774,BRA
2001-12-01,BR,73.9597691583552,2.91511041627918,19.0500000000003,,58.200275324724,1.09730608384316,35563.0403980627,8726.39976457941,10279.646674434,BRA
2002-01-01,BR,75.7966988069946,3.00263934171712,19.0500000000003,,58.5030522514954,1.09764338724659,35857.5244000639,9526.9429898051,9452.98935818341,BRA
2002-02-01,BR,78.2480797515934,2.91459108314419,18.9660519095556,,58.7136796788146,1.09791578730368,35580.2816431961,8668.05823096013,8861.5049652864,BRA
2002-03-01,BR,78.1500245138094,2.89632796786956,18.721941105379,,59.0659026784627,1.09816566158624,36395.8286401778,9068.99708550412,10009.3336236158,BRA
2002-04-01,BR,77.9539140382415,2.99394289741971,18.374981020606,,59.5385300763498,1.0983867911762,32669.0929392083,10129.305581208,10782.92735944,BRA
2002-05-01,BR,77.1694721359699,3.25400943213586,18.3656970336,,59.6634295721229,1.09853680653944,32530.0744777155,10583.9031290359,11030.2279793717,BRA
2002-06-01,BR,78.3461349893773,3.78330985062871,18.0992464982437,,59.9138707204598,1.09865961562309,41648.7549075577,9711.21126668261,11083.827090117,BRA
2002-07-01,BR,78.3461349893773,4.53307730049342,18.1697141169668,,60.6269858364293,1.08827891418327,38728.0999711711,15492.9874692434,18281.959018115,BRA
2002-08-01,BR,77.3655826115378,4.0110820828156,17.8395431604093,,61.0209490274669,1.08837803170648,37302.9884532676,13614.693910521,17905.8720456725,BRA
2002-09-01,BR,78.3461349893773,5.15070109373533,17.8942852064626,,61.4601842722424,1.08846018360453,38033.1407751854,14084.8953620466,21713.9121055403,BRA
2002-10-01,BR,78.7383559405131,4.81629945059665,19.5863849370542,,62.265448887664,1.07979382918587,35513.4153893426,10365.4366173688,14919.1947775435,BRA
2002-11-01,BR,79.2286321294329,4.81394729908122,21.2490633966473,,64.1460050489578,1.07987361028819,35245.8400610907,7611.75127990528,9648.74473166718,BRA
2002-12-01,BR,77.4636378493218,4.80251566170713,23.034265242079,,65.4929289172568,1.07995996621729,37461.990439998,8667.46698420843,12586.6032967982,BRA
2003-01-01,BR,77.7578035626736,4.85231080117502,25.0575142693485,,66.9666787517007,1.08004230941225,38380.2703415938,13211.6212545293,16540.6229356327,BRA
2003-02-01,BR,77.9539140382415,4.88350542032911,25.6766977812857,,68.0182104963203,1.08010208117863,38150.8349114511,14667.5254191416,17984.1904303586,BRA
2003-03-01,BR,77.9539140382415,4.60535173111109,26.3163142390118,,68.8549407944817,1.080164126324,41974.0863930916,13431.2505143153,18081.6469137851,BRA
2003-04-01,BR,77.6597483248897,3.99812341455516,26.3189999643723,,69.5227838567134,1.08022126815966,41136.3851830775,13134.5809555712,17836.5212791955,BRA
2003-05-01,BR,76.3850302336983,4.20987463240984,26.3080939704944,,69.9469284169096,1.08027601412202,42982.5161344112,12045.6891312272,18859.4853984015,BRA
2003-06-01,BR,76.4830854714823,4.02214477031525,26.0862721067706,,69.8419357816453,1.08032094832086,47580.4257920023,10717.0266347207,16959.3779794262,BRA
2003-07-01,BR,76.4830854714823,4.12670617941087,25.3592942893312,,69.9816048836024,1.08036309054925,47262.6723554851,12290.5490615278,17606.3449909871,BRA
2003-08-01,BR,77.4636378493218,4.08455864124417,23.4967409282545,,70.2195239745224,1.08040021790487,47387.1918425127,11790.3606350715,19254.55924386,BRA
2003-09-01,BR,79.9150187939206,4.17871267168238,21.0196507171838,,70.7672837169105,1.08002907680976,52259.4700691129,14248.3075392736,21308.1331759628,BRA
2003-10-01,BR,79.9150187939206,4.0883006506002,19.5365247140555,,70.9724528115096,1.08007028313005,53676.4476265907,15129.879970357,21683.3838505515,BRA
2003-11-01,BR,81.5819578362477,4.27187222920856,18.3123074892203,,71.213903764778,1.08010929580519,53996.8393651226,13075.5654503322,17460.3826141934,BRA
2003-12-01,BR,79.130576891649,4.29207636103727,16.9094660969307,,71.5841071545631,1.08014501913789,48846.5964570736,12372.0901479559,19775.0426209185,BRA
2004-01-01,BR,80.8955711717601,4.35520688751061,16.3171416640107,,72.1280139562076,1.08017462611339,52830.2257788741,12673.9356016259,16565.2660592416,BRA
2004-02-01,BR,81.7780683118157,4.31145488291136,16.2994419856279,,72.5678913577737,1.08020133502099,52532.1715079146,11615.5884122233,16797.8784161633,BRA
2004-03-01,BR,82.6605654518712,4.30503285256173,16.1917000705758,,72.9088766135862,1.08023015976893,51154.5803595712,16413.2980099983,23078.1643665529,BRA
2004-04-01,BR,83.3469521163589,4.27404777978615,15.95593129996,,73.1785824656413,1.08026039175486,50078.4223217279,14171.1507491375,19195.1441437322,BRA
2004-05-01,BR,84.0333387808465,4.5949070164023,15.7704738674063,,73.5516755609842,1.08029228625568,50114.9321421642,15827.7262007284,24676.2240168925,BRA
2004-06-01,BR,84.6216702075502,4.5551116161431,15.7990458546178,,74.073749031748,1.08032410873883,49377.2390316619,18356.8094663105,29245.7582173275,BRA
2004-07-01,BR,85.11194639647,4.41116874105302,15.7736344578115,,74.7476925834904,1.0803573529278,49243.3290143852,17797.0275431884,27361.6589771683,BRA
2004-08-01,BR,86.0924987743095,4.28432867651785,15.8613609178162,,75.2633444863482,1.07998882600954,49154.6718699992,17882.6517488693,27244.0769787527,BRA
2004-09-01,BR,86.4847197254453,4.19809089546933,16.0937124056672,,75.5118591643132,1.08001595416282,49047.2862605381,17654.0087375037,25842.0641830247,BRA
2004-10-01,BR,85.7002778231737,4.28006174967402,16.409747962994,,75.8441753034525,1.08004164839299,48957.0943475112,17657.5125503257,25277.4571490461,BRA
2004-11-01,BR,85.8963882987416,4.1928666435257,16.9582441148085,,76.3675330877976,1.08006621670417,49645.9291384951,17938.6843907455,22779.0399815207,BRA
2004-12-01,BR,86.3866644876614,4.12106002062394,17.5006002673143,,77.0241384061936,1.08009206782996,52461.7848599627,16366.1951684075,25039.6702771956,BRA
2005-01-01,BR,86.9749959143651,3.98977619849137,17.9307033341329,,77.4707584540611,1.08011836842314,53566.3580670493,14969.6271546851,20079.4070822657,BRA
2005-02-01,BR,85.6022225853898,3.97428708869913,18.4730771894619,,77.9279740889735,1.0801430183972,58547.0885960421,13726.9251352543,20186.9801309536,BRA
2005-03-01,BR,86.4847197254453,4.02695311909834,18.9724695176937,,78.403170114023,1.08017125864465,61497.7840615226,16897.6155765779,25070.3742771064,BRA
2005-04-01,BR,86.3866644876614,3.83821408149057,19.3164427784357,,79.085140625648,1.08020038400203,61121.4407415204,14557.8718633796,23777.8130384653,BRA
2005-05-01,BR,87.9555482922046,3.54429483577216,19.6051821899255,,79.4726822487796,1.08022768351877,60258.7047566236,16459.3787033797,24121.8825680224,BRA
2005-06-01,BR,89.5244320967478,3.42245864674797,19.7454544039722,,79.4566283290144,1.08023152906905,59412.5363139285,15737.7893032373,24673.682732871,BRA
2005-07-01,BR,87.5633273410688,3.46949797756594,19.7223808368526,,79.6553758557074,1.07994432455969,54224.3525185297,15172.2554024303,26292.9492684859,BRA
2005-08-01,BR,87.171106389933,3.44944876556186,19.7482603012657,,79.7908709385255,1.07996216822162,54607.9037397867,19072.4158018137,26826.9976885712,BRA
2005-09-01,BR,86.7788854387972,3.2198402690206,19.6061358828867,,80.0702091424398,1.08000066005474,56496.9270464224,15255.5125958704,24440.8881636549,BRA
2005-10-01,BR,85.6022225853898,3.25810369256571,19.2517447415841,,80.6706257416577,1.08000836080052,59736.7836423499,14765.5251336627,22386.6573487097,BRA
2005-11-01,BR,87.171106389933,3.14192941980689,18.8652989718585,,81.1143560839674,1.08003159292685,63741.6320203396,15605.703437161,23893.1523310064,BRA
2005-12-01,BR,88.6419349566923,3.34433867878684,18.2416057369542,,81.4062163452984,1.08006864697877,53245.2097607774,15773.1970203755,24944.7298311529,BRA
2006-01-01,BR,89.230266383396,3.20184548407099,17.6521581669334,,81.8865496246728,1.08007649079536,56309.3732262336,15435.8067587867,21113.3584185506,BRA
2006-02-01,BR,89.8185978100997,3.06335213697046,17.2805541592001,,82.2223976261604,1.08008568204954,56816.3268650159,13578.0122857829,18966.1918061962,BRA
2006-03-01,BR,88.6419349566923,3.12893981156624,16.7351885713033,,82.5759049393898,1.08008568204954,59195.8701539372,17418.3553087794,24520.8348550811,BRA
2006-04-01,BR,89.5244320967478,3.07216588872004,16.1944431164341,,82.7492872728538,1.08008568204954,55856.3886096575,15061.1018730482,20928.4544772978,BRA
2006-05-01,BR,89.8185978100997,3.43616784433026,15.7013563578826,,82.8321254988421,1.08008568204954,62675.5280265677,16611.6516615604,22440.9472173747,BRA
2006-06-01,BR,89.230266383396,3.20061423389411,15.1761902911214,,82.6581010085875,1.08013249385173,62007.8316478194,17344.879910261,25768.1249668841,BRA
2006-07-01,BR,89.9166530478836,3.22799874168294,14.979245942509,,82.815108343891,1.08013375801892,66136.1539691791,18358.2967780729,29880.5179600528,BRA
2006-08-01,BR,89.6224873345318,3.1824663667785,14.6582138559497,,82.8565274568852,1.08014506189838,70804.2957904633,20586.3340981602,29469.1111178756,BRA
2006-09-01,BR,88.9361006700441,3.20875194696863,14.1704999354043,,83.0305519471398,1.08016139704749,72745.6438456584,18446.2662761387,27270.9646534032,BRA
2006-10-01,BR,88.7399901944762,3.1705389412987,13.9506943560924,,83.3044318183339,1.08016267503949,77518.7088442649,19683.7344572869,27255.009434439,BRA
2006-11-01,BR,90.3088739990194,3.26573690162081,13.648948441181,,83.562578848158,1.08017403003863,82415.4220937738,19596.6462550005,25667.50735511,BRA
2006-12-01,BR,91.4855368524268,3.21520769772354,13.1859998939786,,83.9636057638923,1.08019136604035,85156.1834637376,16295.208718347,26363.5041396909,BRA
2007-01-01,BR,90.9952606635071,3.16493610223642,13.1294935610934,,84.3331669968869,1.08019262988602,90383.435932934,18968.0638455754,23484.3577014482,BRA
2007-02-01,BR,92.2699787546985,3.18608678904025,12.9322221457012,,84.704333621858,1.0802041683373,100352.253725369,15922.2943540045,21229.9234964743,BRA
2007-03-01,BR,92.7602549436182,3.09527764773397,12.7381338113143,,85.0177061356744,1.08022267932004,108816.522877248,20881.3564374327,26915.7137670383,BRA
2007-04-01,BR,93.9369177970256,3.09881738605586,12.5794337395922,,85.2302600333654,1.08022517932961,121099.021099777,17616.419956119,25286.0792891534,BRA
2007-05-01,BR,94.0349730348096,2.91693961128652,12.43,,85.468821281076,1.08023628934009,135701.448692069,20379.3598710123,27038.1797276395,BRA
2007-06-01,BR,95.6038568393528,2.91807740922497,12.0298217943168,,85.7080246855773,1.08025476534282,146398.32554986,18873.6658603121,25337.1843437251,BRA
2007-07-01,BR,95.0155254126491,2.87380258225739,11.7251839412288,,85.913835936967,1.08025726532024,155190.618218185,21260.9289357802,26578.3156333149,BRA
2007-08-01,BR,95.5058016015689,3.00579026903754,11.4295651987292,,86.317752558259,1.0802724893397,160370.567788678,23857.4629617941,29680.8135268651,BRA
2007-09-01,BR,95.7019120771368,2.86127909963341,11.2194363627792,,86.473154501586,1.0802882893397,162159.54952645,21295.8339886171,26903.1519593663,BRA
2007-10-01,BR,96.3882987416244,2.74010930885804,11.1795454350316,,86.7325858449914,1.08029081732042,167013.77557568,23391.4650204072,28392.1850739688,BRA
2007-11-01,BR,96.5844092171923,2.83513023566454,11.18,,87.062012278573,1.080317926344,176213.158088863,22407.4215185708,24864.1803251971,BRA
2007-12-01,BR,97.172740643896,2.79782937112444,11.18,,87.7064166179475,1.08036783233362,179432.865855624,19909.4993177917,25410.3091532701,BRA
2008-01-01,BR,99.329955875143,2.80686921217825,11.17818,,88.1800072510204,1.08036783233362,186506.509651435,23162.4562161377,23551.32200497,BRA
2008-02-01,BR,98.1532930217356,2.70975867444887,11.17947,,88.6121787710992,1.08045878334325,191852.156641622,21862.9615684299,22109.8404836253,BRA
2008-03-01,BR,98.6435692106553,2.87507729144466,11.17899,,89.0376076448766,1.0806372713395,194222.833673217,20856.7540598827,21532.2764426116,BRA
2008-04-01,BR,98.1532930217356,2.73834247792065,11.3697727917373,,89.5272521977147,1.08064840433777,194825.570319574,21903.7528867844,23738.0609861505,BRA
2008-05-01,BR,97.0746854061121,2.63945207788377,11.6269990548514,,90.2345879025688,1.08073499933978,196949.001649711,26533.628432325,32046.1893059678,BRA
2008-06-01,BR,103.056054910933,2.59924624962631,12.0893727668462,,90.9024309648004,1.08085422734516,199821.610071864,26992.5083609905,30092.4712971082,BRA
2008-07-01,BR,100.898839679686,2.53797726874874,12.3643023589339,,91.384048557756,1.08088245534318,202569.29818945,28731.3359917173,32538.4606211943,BRA
2008-08-01,BR,100.016342539631,2.56454937495388,12.9190475808911,,91.639948038813,1.08001014732081,204216.472870895,29680.5061479228,31830.2564302751,BRA
2008-09-01,BR,101.094950155254,2.97974520725853,13.3898901924011,,91.8781882081284,1.08014679131895,205538.620094801,32799.1498588186,36014.3228444423,BRA
2008-10-01,BR,97.4669063572479,3.14700353768144,13.6647824606768,,92.2917371812795,1.08019842132783,196439.634748587,39380.6120563243,40217.1028680424,BRA
2008-11-01,BR,93.0544206569701,3.47039016035842,13.6399997800071,,92.6240533204189,1.08029162832289,193788.385106174,31799.2876310577,33427.7066968915,BRA
2008-12-01,BR,81.1897368851119,3.59837778808047,13.6599999600083,,92.8834846638242,1.08045982431999,192843.633608446,28978.3963687628,33079.0402006392,BRA
2009-01-01,BR,83.2488968785749,3.45439788982449,13.324251391438,,93.3291414765058,1.08045982431999,187108.181603769,25051.9299343399,22567.3086835992,BRA
2009-02-01,BR,84.7197254453342,3.48880547737764,12.66,,93.8425458305964,1.08045982431999,185851.842309785,18982.6867441847,22166.3793636496,BRA
2009-03-01,BR,86.1905540120935,3.34403308300803,11.7031296865292,,94.0300556134537,1.08045982431999,189397.593314971,24423.7578249766,27319.891529201,BRA
2009-04-01,BR,86.6808302010132,3.26152730845735,11.1092852908331,,94.4814918372507,1.08045982431999,189591.604697846,19933.1273179534,27174.7107441635,BRA
2009-05-01,BR,88.8380454322602,3.11715332196033,10.1594999784392,,94.9255432579557,1.08045982431999,194210.014113458,20181.7497240613,24694.297935637,BRA
2009-06-01,BR,89.9166530478836,3.02358142047324,9.539403967,,95.2671706705589,1.08045982431999,200457.737375584,20160.7047238741,28315.7280964666,BRA
