,year,ISO2 Code,AIP_SA_IX,ENDE_XDC_USD_RATE,FIMM_PA,PCPI_IX,RAFAGOLDV_OZT,RAXG_USD,TMG_CIF_XDC,TXG_FOB_XDC,ISO Code,PCTOT,BCAXF_BP6_USD,FASMB_XDC,NGDP_R_K_IX,IXOB,General government,Private non-financial sector,debt_service,month,couprisk
10903,2003-08-01,MA,,9.8406,2.8,87.7124414579356,0.707977593,12608.4869899184,9819.4,6202.7,MAR,99.1591644287109,,,,,,,,08,0.0009502501343376936
10904,2003-09-01,MA,,9.3025,2.81,88.7756225665166,0.708025425,13302.5114465701,11047.1,6987.7,MAR,99.1942596435547,,,,,,,,09,0.0009484568727202712
10905,2003-10-01,MA,,9.3498,3.017,89.7324855642396,0.708025425,12957.441052426,11472.4,6957.7,MAR,99.2788543701172,83.614745387079,110255.43354331,73.7855458517551,,,,,10,0.0009507661452516912
10906,2003-11-01,MA,,9.1194,2.979,89.0945768990909,0.708025425,13275.615961787,10483.2,6343.7,MAR,99.2241287231445,,,,,,,,11,0.003073326079174876
10907,2003-12-01,MA,,8.7499,3.145,88.3503501230842,0.708025425,13851.1451721823,13950.5,8145.1,MAR,99.2653961181641,,,,,,,,12,0.0009465483017265797
10908,2004-01-01,MA,,8.8486,2.717,87.9250776796518,0.708025425,13653.6628439645,12268.9,7966.7,MAR,99.3025054931641,355.821471105314,110805.18025774,74.827222286949,,,,,01,0.0009201802895404398
10909,2004-02-01,MA,,8.8696,2.735,88.2440320122261,0.708025425,13837.1750994254,11145.4,6189.9,MAR,99.3386001586914,,,,,,,,02,0.0009191776625812055
10910,2004-03-01,MA,,8.9825,2.289,88.4566682339423,0.708025425,13848.0721819786,13812.2,8176.2,MAR,99.4103851318359,,,,,,,,03,0.0009948851075023413
10911,2004-04-01,MA,,9.1319,2.283,88.5629863448004,0.708025,13539.0037500962,13683.8,7575.5,MAR,99.3977279663086,-566.352961017154,113535.87155701,77.4559922941754,,,,,04,0.0007202487904578447
10912,2004-05-01,MA,,8.989,2.25,88.8819406773747,0.708025425,13926.2094289069,13688.8,7153.8,MAR,99.357795715332,,,,,,,,05,0.0025650772731751204
