country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Central African Republic;;;;;;;;;;;;;;;;;;96.1;85.3;84.2;94.7;103.1;98.5;95.9;99.7;103;46.7;47.9;35.8;20.3;19.9;19.7;31.5;51.8;62.2;59.8;53.9;50.3;49.9;44.5;39.2;37.3;35.1;32.2;30
Chad;;;;;;;;;;;;;;;;;;;;58;68;56.4;54.4;44.7;32.6;28.5;26.2;22.1;19.9;31.6;30.1;30.6;28.8;30.5;41.5;43.9;51.5;49.8;48.3;44.7;40.2;36.2;32.1;29;26.6
Chile;;;;;;;;;;;;37.4;30.7;28.3;22.8;17.4;14.7;12.9;12.2;13.4;13.2;14.5;15.2;12.7;10.3;7;5;3.9;4.9;5.8;8.6;11.1;11.9;12.7;15;17.3;21;23.5;25.6;27.5;29.2;30;29.9;29.6;29.1
China, People's Republic of;;;;;;;;;;;;;;;;21.4;21.3;20.4;20.5;21.7;22.8;24.4;25.7;26.6;26.2;26.1;25.4;29;27;34.3;33.7;33.6;34.3;37;39.9;41.1;44.2;46.8;50.6;55.6;60.9;65.4;69.5;73.2;76.6
Colombia;;;;;;;;;;;;;;;;;23.4;25.3;27.5;34.1;38.1;41.2;47.7;45.2;41.6;38.6;36.1;32.7;32.4;35.4;36.6;35.8;34;37.6;43.3;50.4;49.8;49.5;52.2;51;49;46.7;44.6;42.8;41
Comoros;;;;;151.3;143.8;137.4;129.4;120.3;113.9;108.4;104.1;101.2;95.9;88;77.9;75.5;71.1;69.5;64.6;60.8;53;48.2;44.5;42.4;39.9;38.5;36.2;33.4;31.8;30.4;27.3;25;10.5;13.5;14.3;16.9;18.4;21;24.3;28.2;29.9;32.5;32.8;33.3
Congo, Dem. Rep. of the;;;;;;;;;;;;;;;;;;;;;135;181.6;136;114.5;141.8;101.5;103.2;84.9;87.8;91.3;30.6;25;21.8;19.1;16.8;17;21.7;19.1;15.3;13.5;11.6;9.9;8.3;6.8;5.7
Congo, Republic of ;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;163.2;195.8;180.3;204.4;198.7;108.3;98.8;110.6;79.4;86.7;46.3;36.2;39;43.3;53.6;102.9;118.6;117.5;87.8;78.5;73.3;69.3;64.3;57.8;55.4
Costa Rica;;;;;;;;;;;;;;;;;33.9;30.7;40.9;39.1;39;39.8;41.6;40.7;41.2;37.5;33.2;27.1;24.1;26.1;28.3;29.8;34.2;35.8;38.4;40.9;44.9;48.6;53.5;57.1;59.9;62.2;63.6;64.4;64.5
Croatia;;;;;;;;;;;;;;;;;;;21.9;28.1;33.2;34.6;36.6;38.1;40.3;41.2;38.7;37.3;39;48.3;57.3;63.9;69.5;80.4;84;83.7;80.5;77.8;74.6;71.1;68.3;65.5;63.8;60.8;58
Cyprus;;;;;;;;;;;;;;;;46.7;48.8;53.5;55;55.7;56;57.5;61;63;64.7;64;59;53.1;44.1;52.8;55.8;65.2;79.2;102.1;108;108;105.5;95.8;102.5;96.1;89.4;85;76.7;72.1;63.9
Czech Republic;;;;;;;;;;;;;;;;13.7;11.6;12.3;14;15.3;17;22.8;25.9;28.3;28.5;27.9;27.7;27.5;28.3;33.6;37.4;39.8;44.5;44.9;42.2;40;36.8;34.7;32.6;31.6;30.5;29.7;29.1;28.3;27.5
Côte d'Ivoire;;;;;;;;;;;;;;;;;;116.4;103.9;107.8;102.3;98.4;87.1;77.9;78.4;80.4;79.4;74;70.8;64.2;63;69.2;45;43.4;44.8;47.3;48.4;49.8;53.2;52.7;51.5;51;51.1;51.5;53.1
Denmark;;;;;;;;;;;;;66.8;78.6;75.2;71.4;68.3;64.3;60.3;56.8;52.4;48.5;49.1;46.2;44.2;37.4;31.5;27.3;33.3;40.2;42.6;46.1;44.9;44;44.3;39.8;37.2;35.5;34.3;33;31.8;33.8;35.8;37.5;38.2
Djibouti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.6;27.9;25.7;25.1;24.6;26.9;39.9;45.7;47.9;48;47.4;45.8;45;42.7;40.6;38.8
Dominica;;;;;;;;;;;54.1;56.9;54;53.4;55.9;57.4;53.7;47.7;56.3;61.8;68.9;98.5;97.9;94.9;86.2;82;77.4;71.8;64.4;62.5;66.8;69.7;72.8;73.4;78.6;75.3;75;75.5;74.1;76.8;79.6;75.8;75.1;71.4;67.9
Dominican Republic;;;;;;;;;;;;;;;;;;13.8;13.2;16;16.7;20.4;21.5;48.2;34.3;38.3;36;32.9;33.6;36.7;37.3;39.1;42.3;46.7;44.9;44.7;46.6;48.9;50.5;52.4;52.7;53;53.2;53.4;53.9
Ecuador;;;;;;;;;;;;;;;;;;;;;;60.3;52.2;45.1;38.7;34.7;31.1;28.5;24.2;18.6;17.7;16.8;17.5;20;27.1;33.8;43.2;44.6;45.8;49.1;48.3;46.6;42.3;38;33.9
Egypt;;;;;;;;;;;;;;;;;;;73.8;72.4;71.7;79.1;85.8;97.1;96.5;98.3;85.9;76.3;66.8;69.5;69.6;72.8;73.8;84;85.1;88.5;96.8;103.2;92.7;84.9;83.8;80.7;78.7;74.6;71.7
El Salvador;;;;;;;;;;;;43.3;36.4;31.9;30.5;28;28.5;27.8;25.7;28;29.6;36.5;42.3;44.5;45.4;44.8;45.3;44.9;46.8;56.6;57.7;57;61.5;60.9;63;64.3;65.5;67.3;67.1;68.3;69.1;69.3;69.7;70;70.5
Equatorial Guinea;146.2;221.1;260.7;259.3;257.9;183.8;152.5;141.3;154.5;187;157;169.5;136.9;152.6;216;136.9;91.2;46.3;59.2;60.5;36.6;25.5;19.4;6.7;4.5;2.9;1.2;0.8;0.5;4.3;7.9;7.2;7.1;6.3;12.6;33.6;43.4;38;43.3;45.4;46.5;47.6;47.4;46.1;44.8
Eritrea;;;;;;;;;;;;;;;;;;;;;219.1;238.5;243.4;263.9;193.5;205.3;199;201.3;259.7;207.1;201.7;165.3;160.1;194.6;143.4;190.3;170.1;196.2;174.3;165.1;161.4;155.8;145.6;138.8;132.4
Estonia;;;;;;;;;;;;;;;;8.7;7.3;6;5.4;5.9;5.1;4.8;5.7;5.6;5.1;4.7;4.6;3.8;4.5;7.2;6.6;6.1;9.8;10.2;10.4;9.8;9.2;9.2;8.3;8.2;7.9;7.6;7.3;7.1;7
Eswatini;;;;;;;;;;;;;;14.5;12.7;12.1;11.2;12.3;15.2;16.2;17.7;21;16.7;17.2;14.6;13.2;14.2;15.7;14.2;10.3;13.8;14.2;14.4;14.7;13.8;17.7;25;27.5;35.2;40.9;42.5;45.1;49.2;53.5;58.5
Ethiopia;;;;;;;;;;;;;87.9;141;155.2;146.6;132.8;80.3;89.3;97.8;93.6;97.3;107.4;103.7;103.1;78.2;40.2;42.4;38.5;35.2;39.6;45.3;42.2;47.5;47.6;54.5;55.8;58.6;61;59.1;54.4;52.2;50.6;50.3;50.3
Fiji;;;;;;;;;;;;;42.2;44.3;47.6;48.4;48.8;54.1;36.6;32.7;36.9;41;43.4;44.9;44.5;44;49.2;46;47.5;51.5;51.8;48.6;47.7;45.8;44.5;43;44;43.7;46.2;46.8;46.8;46.7;46.7;46.6;46.6
Finland;10.9;11.5;13.9;15.4;15.2;15.8;16.4;17.6;16.5;14.3;13.8;21.9;39.3;54.1;56.1;55.1;55.3;52.2;46.9;44;42.5;40.9;40.2;42.7;42.6;39.9;38.1;34;32.7;41.7;47.1;48.5;53.9;56.5;60.2;63.4;63;61.3;59.3;58.9;59.1;59.9;60.5;61;59.7
France;20.8;22;25.4;26.7;29.1;30.7;31.3;33.7;33.6;34.4;35.6;36.5;40.2;46.6;49.9;56.1;60;61.4;61.4;60.5;58.9;58.3;60.3;64.4;65.9;67.4;64.6;64.5;68.8;83;85.3;87.8;90.6;93.4;94.9;95.6;98;98.4;98.4;99.3;99.2;99;98.7;98.2;97.8
Gabon;;;;;;;;;;;90;89.3;87.9;90.1;71.3;73.4;64.5;57;87.6;73.1;72.5;81;81.1;70.2;60.3;49.3;39.6;39.2;20.1;26;21.3;21.4;21.4;31.1;34.1;44.7;64.2;62.6;60.7;56.4;54;50.2;46.9;42.8;39.7
Gambia, The;;;;;;;;;;;;;;;;;;;;;73.3;75.2;93.9;91.7;81.3;82.6;87.3;38;39.5;38.9;42.9;49.2;49.5;58.2;71.1;69.4;80.9;87;86.6;80.9;75;69.8;65.3;61;57.2
Georgia;;;;;;;;;;;;;;;;;;;;;67.7;61.3;58.1;63.1;50.4;39.9;32;25.5;31.2;41;42.4;36.5;34.8;34.7;35.6;41.4;44.4;45.1;44.9;50;52;49.6;49.1;48.3;47.1
Germany;;;;;;;;;;;;39;41.5;45.1;47.5;54.9;57.8;58.9;59.5;60.1;59.1;57.9;59.7;63.3;65;67.4;66.7;64;65.5;73;82.3;79.7;81.1;78.6;75.6;72;69.1;65.2;61.7;58.6;55.7;53.1;50.7;48.1;45.6
Ghana;;;;;;;;;;;19;18.5;22.9;37.1;55.2;49.1;44.1;46.7;40.6;55.8;79.2;61.7;57.9;52.7;41.2;34;18.6;22.6;24.9;27;34.6;31.4;35.6;43.2;51.2;54.8;57.1;57.3;59.3;63.8;63.5;62.5;61.1;58.5;57.3
Greece;22.5;26.7;29.3;33.6;40.1;46.6;47.1;52.4;57.1;59.8;73.2;74.7;80;100.3;98.3;99;101.3;99.5;97.4;98.9;104.9;107.1;104.9;101.5;102.9;107.4;103.6;103.1;109.4;126.7;146.2;180.6;159.6;177.9;180.2;177.8;181.1;179.3;184.9;176.6;171.4;167.1;161.7;157.2;154.1
Grenada;;;;;;;;;;;;42;40.1;45.3;45.7;43.1;43.9;41.4;40.3;34.5;41.6;44.6;79.1;79.6;94.7;87.3;92.9;89.1;83.9;91.1;96.9;100.7;103.3;108.1;101.8;90.1;81.6;70.1;63.5;59.1;54.4;51.6;49.3;45.9;45.1
Guatemala;;;;;;;;;;;;;;;;;;;;;19;20.2;18.4;20.9;21.4;20.8;21.7;21.3;20.1;22.9;24.1;23.7;24.3;24.6;24.3;24.2;24;23.8;24.7;25.2;25.9;26.1;26.2;26.5;26.6
Guinea;;;;;;;;;;;71.6;70.9;62;68.9;71.3;66.5;67.7;67.9;75.9;92.3;91.5;90.4;82.6;81.6;86.9;97.9;95.2;60.8;58.5;61.3;68.8;58.1;27.2;34;35.1;41.9;42.5;40.6;38.2;45.4;44.8;43.3;42.1;41.1;40.1
Guinea-Bissau;;;;;;;;;;;;;;;;;;159.7;171.6;156.9;233.7;221.7;224.7;212.6;221;222;204;177.2;163.3;159;68.3;51.7;53.5;57.1;65;61.7;62.5;57.2;64.3;69.2;68.2;67.1;65.7;64.2;62.6
Guyana;;;;;;;;;;;;;;;;;;135.1;143.1;130.9;129.4;139.7;140.9;127.7;121.5;118.4;97;61;62.5;67.1;67.9;66.8;63.5;57.8;51.9;50.1;50.7;51.4;52.9;55.5;24.6;23.1;23;17.9;15.5
Haiti;;;;;;;;;;;;;;;;;;42.2;39.2;39.3;54.1;48.6;53.3;60.8;48.9;46.7;38.7;34.2;37;26.8;17.2;11.8;16.1;21.5;26.3;30.3;33.7;31;33.3;36.5;36.5;36.7;36.6;36.5;36.4
Honduras;;;;;;;;;;;236.5;135.4;123.2;111.7;85.5;65.4;64.6;70.8;67.4;75.8;65.8;63.4;64.2;67.8;60.9;55.6;39.2;24;22.3;24.3;23.6;25.2;29.8;37.7;37.5;37.4;38.4;39.2;40.2;41.5;40.8;40.6;39.3;38.7;38.1
Hong Kong SAR;;;;;;;;;;;;;;;;;;;;;;3.3;3.5;1.6;1.5;1.4;1.1;1;0.9;0.7;0.6;0.6;0.5;0.5;0.1;0.1;0.1;0.1;0.1;0;0;0;0;0;0
Hungary;;;;;;;;;;;;;;;;84.1;71.3;61.9;59.8;59.7;55;51.6;54.8;57.4;58.3;60.2;64.4;65.3;71.2;77.5;80.2;80.5;78.4;77.1;76.6;76.7;76;73.4;70.8;67.5;65.1;62.9;61.1;59.5;58.1
