country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Sub-Saharan Africa (Region) ;;;;;;;;;;;;;;;;;;;;;70.4;67.4;60.4;54.9;49.6;40.6;30.4;27;26.4;30.5;29.6;31.5;32.2;33.9;35.2;41.5;47.6;49.6;52.5;53.1;53.4;53.5;53.3;53.1;52.9
Western Europe;;;;;;;;;;;;52.2;56.4;61.7;64.1;65.9;67.8;66.6;65.3;63.8;60.7;59.5;59.7;61.2;61.9;62.3;60.9;59.1;63.7;73.9;79.4;81.7;85;86.9;87.6;86.2;85.6;83.9;82.5;81;79.5;78.3;77;75.7;74.2
Western Hemisphere (Region);;;;;;;;;;;;;;;;;;;;;;53.8;57.2;59.6;64.8;63.3;61.5;61.1;67.2;78.3;83;84.8;87.7;89.2;89.9;92.8;95.6;95.6;96.3;98.2;99.4;100.6;102;103;103.8
ASEAN-5;;;;;;;;;;;;;;;;;;;;;62.1;58.2;55.3;52.4;50.3;45.7;40.4;37.5;36.3;38.2;36.4;35.1;36.4;38;38.2;39.3;39;39.4;40;40;39.8;39.7;39.5;39.3;39
Advanced economies;;;;;;;;;;;;;;;;;;;;;;69.6;70.7;72.8;76.4;76;73.3;70.9;77.7;90.9;97.4;101.5;105.6;104.1;103.5;103;105.6;103.4;102;103.1;103.8;104.1;104.4;104.5;104.4
Emerging and Developing Asia;;;;;;;;;;;;;;;;;;;;;43.5;44;44.6;45;43.8;42;39.3;40.2;36.8;41.5;40.1;39.6;39.6;41.3;43.3;44.5;46.8;48.8;51.5;55.1;58.8;61.8;64.6;67.1;69.3
Emerging and Developing Europe;;;;;;;;;;;;;;;;;;;;;50.6;50.2;47.7;43.8;37.4;32.3;27;23.6;23.7;29.2;29.4;28.2;27;28;30.4;32.4;33.2;31.1;30.8;31.3;32.1;32.4;32.8;33.3;33.9
Emerging market and developing economies;;;;;;;;;;;;;;;;;;;;;47.4;48.1;51.8;49.9;46.9;41.9;37.3;35.7;33.8;38.8;37.7;36.9;36.9;38.1;40.1;43.5;46.5;48.3;50.6;53.3;55.7;57.6;59.4;60.9;62.4
Euro area;;;;;;;;;;;;;;;;70.9;72.9;72.3;71.9;70.7;68.2;67.2;67.1;68.3;68.6;69.4;67.5;65.1;68.8;79.3;84.9;87;90;91.9;92.1;90.2;89.5;87.3;85.4;83.9;82.3;80.8;79.3;77.7;76.1
European Union;;;;;;;;;;;;;;62.5;64.9;66.3;68;66.7;64.9;63.7;60.3;59.1;59.1;60.5;61;61.5;59.9;58;62.4;73.2;79.1;82;85.5;87.5;88;86.5;85.8;83.6;81.9;80.4;78.9;77.6;76.3;75;73.5
Latin America and the Caribbean;;;;;;;;;;;;;;;;;;;;;46.2;47.6;58.1;58.3;54.2;50;47.1;46;46.1;48.9;47.5;47;46.7;47.4;49.4;52.9;56.3;61;67.8;69.6;69.2;68.8;68.5;67.7;67
Major advanced economies (G7);;;;;;;;;;;;;;;;;;;;;;74.8;76.6;79.6;84.7;84.7;82.3;80.6;88.6;103.5;111.8;116.9;121;118.7;117.5;116.3;119.7;117.7;116.1;117.3;118.2;118.8;119.5;120.1;120.5
Middle East and Central Asia;;;;;;;;;;;;;;;;;;;;;48.7;51.1;61.1;55.2;54.8;41.9;33;28.2;24.6;30.5;27.6;24.8;26.1;26.6;26.9;37.2;44.5;44.5;43;44.9;46.4;47.3;47.7;47.6;48
Other advanced economies;;;;;;;;;;;;;;;;;;;;;35.1;33.8;34.2;35.1;35;34;33.3;31.3;32.8;35.6;35.7;36.2;37.5;38.6;39.7;40.8;41.2;41.1;41.1;41.3;41.7;42;42;42;41.8
Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;67.5;64.5;57.4;52;47.3;38.8;28.6;25.3;24.6;28.4;27.3;29.4;29.5;31.5;33.4;39.3;44.4;46.2;49;50.2;50.4;50.7;50.7;50.7;50.6
